,IMDB,Metascore,Name,Votes,Year,Metascore_10
0,8.5,59.0,Joker,775861,2019,5.9
1,8.4,78.0,Avengers: Endgame,709750,2019,7.8
2,7.7,83.0,Once Upon a Time... in Hollywood,456220,2019,8.3
3,6.9,64.0,Captain Marvel,409316,2019,6.4
4,8.6,96.0,Gisaengchung,392766,2019,9.6
5,6.7,53.0,Star Wars: Episode IX - The Rise of Skywalker,312294,2019,5.3
6,8.3,78.0,1917,298324,2019,7.8
7,7.9,82.0,Knives Out,291506,2019,8.2
8,7.5,69.0,Spider-Man: Far from Home,286804,2019,6.9
9,7.9,94.0,The Irishman,284793,2019,9.4
10,7.5,73.0,John Wick: Chapter 3 - Parabellum,242946,2019,7.3
11,7.1,71.0,Shazam!,228389,2019,7.1
12,8.1,81.0,Ford v. Ferrari,209306,2019,8.1
13,8.0,94.0,Marriage Story,208948,2019,9.4
14,7.9,58.0,Jojo Rabbit,205952,2019,5.8
15,7.3,53.0,Alita: Battle Angel,204612,2019,5.3
16,7.0,53.0,Aladdin,203568,2019,5.3
17,6.9,81.0,Us,197060,2019,8.1
18,6.7,43.0,Glass,189988,2019,4.3
19,6.9,55.0,The Lion King,188497,2019,5.5
20,7.8,84.0,Toy Story 4,177044,2019,8.4
21,6.6,58.0,It Chapter Two,174149,2019,5.8
22,6.6,80.0,Ad Astra,161701,2019,8.0
23,7.4,72.0,El Camino: A Breaking Bad Movie,161387,2019,7.2
24,7.5,90.0,Uncut Gems,158358,2019,9.0
25,7.1,72.0,Midsommar,148324,2019,7.2
26,6.5,60.0,Fast & Furious Presents: Hobbs & Shaw,147660,2019,6.0
27,6.7,58.0,Jumanji: The Next Level,140514,2019,5.8
28,5.8,43.0,Dark Phoenix,136752,2019,4.3
29,7.9,51.0,The Gentlemen,124266,2019,5.1
30,6.6,53.0,Pokémon Detective Pikachu,123872,2019,5.3
31,6.1,48.0,Godzilla: King of the Monsters,118507,2019,4.8
32,6.1,41.0,6 Underground,118401,2019,4.1
33,6.3,54.0,Terminator: Dark Fate,117902,2019,5.4
34,7.0,73.0,El hoyo,111449,2019,7.3
35,7.3,69.0,Rocketman,111094,2019,6.9
36,6.8,55.0,Zombieland: Double Tap,106471,2019,5.5
37,7.0,64.0,Frozen 2,106228,2019,6.4
38,6.2,60.0,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,103993,2020,6.0
39,7.4,59.0,Doctor Sleep,100104,2019,5.9
40,7.9,91.0,Little Women,99836,2019,9.1
41,7.6,83.0,The Lighthouse,99088,2019,8.3
42,6.4,61.0,Triple Frontier,96120,2019,6.1
43,5.7,38.0,Men in Black: International,96020,2019,3.8
44,6.8,55.0,Yesterday,93647,2019,5.5
45,7.5,71.0,How to Train Your Dragon: The Hidden World,92021,2019,7.1
46,7.6,75.0,The Two Popes,90026,2019,7.5
47,7.2,72.0,The Invisible Man,89627,2020,7.2
48,6.0,38.0,Murder Mystery,87977,2019,3.8
49,6.7,59.0,Bad Boys for Life,85604,2020,5.9
50,6.8,56.0,Extraction,85166,2020,5.6
51,6.8,67.0,Long Shot,80802,2019,6.7
52,6.8,64.0,Ready or Not,76931,2019,6.4
53,7.2,84.0,Booksmart,75098,2019,8.4
54,6.3,48.0,Escape Room,72998,2019,4.8
55,5.7,57.0,Pet Sematary,72669,2019,5.7
56,7.3,62.0,The King,71682,2019,6.2
57,5.2,31.0,Hellboy,70873,2019,3.1
58,6.1,44.0,Brightburn,69154,2019,4.4
59,6.6,52.0,"Extremely Wicked, Shockingly Evil and Vile",68366,2019,5.2
60,6.3,19.0,Polar,67745,2019,1.9
61,8.2,65.0,Klaus,67354,2019,6.5
62,6.2,26.0,Rambo: Last Blood,66554,2019,2.6
63,6.3,79.0,Hustlers,65896,2019,7.9
64,6.7,64.0,I Am Mother,64898,2019,6.4
65,6.4,45.0,Angel Has Fallen,64857,2019,4.5
66,6.9,58.0,The Highwaymen,64574,2019,5.8
67,6.7,43.0,Maleficent: Mistress of Evil,64507,2019,4.3
68,5.7,38.0,Gemini Man,62920,2019,3.8
69,6.3,51.0,Dumbo,59444,2019,5.1
70,7.1,68.0,Fighting with My Family,57869,2019,6.8
71,5.9,60.0,Isn't It Romantic,57465,2019,6.0
72,6.8,64.0,Bombshell,56761,2019,6.4
73,6.6,47.0,Sonic the Hedgehog,55763,2020,4.7
74,6.2,60.0,Crawl,52380,2019,6.0
75,7.5,61.0,Onward,52252,2020,6.1
76,6.2,49.0,Spenser Confidential,50986,2020,4.9
77,6.2,57.0,Cold Pursuit,50918,2019,5.7
78,5.7,61.0,Velvet Buzzsaw,49496,2019,6.1
79,5.9,53.0,Annabelle Comes Home,49154,2019,5.3
80,6.2,57.0,Happy Death Day 2U,49013,2019,5.7
81,6.6,65.0,The LEGO Movie 2: The Second Part,48777,2019,6.5
82,6.7,60.0,Good Boys,48453,2019,6.0
83,6.2,61.0,Scary Stories to Tell in the Dark,48037,2019,6.1
84,6.6,40.0,Anna,47619,2019,4.0
85,7.3,76.0,Dolemite Is My Name,44421,2019,7.6
